0.0,0.5087,0.2773,0.4852,0.5087,0.5087,0.2773,0.3836,0.2773,0.0
0.7234,0.7883,0.7234,0.7883,0.7883,0.7883,0.7234,0.7648,0.7234,0.7234
0.1523,0.1969,0.1969,0.2484,0.2484,0.2484,0.1969,0.1523,0.1969,0.1523
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7234,0.7456,0.7234,0.7574,0.7574,0.7574,0.7234,0.8614,0.7234,0.7234
0.8688,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.2426,0.6608,0.6608,0.8539,0.8539,0.8539,0.6608,0.8688,0.6608,0.2426
0.7324,0.5509,0.7324,0.7735,0.7735,0.7735,0.7324,0.7483,0.7324,0.7324
0.68,0.7766,0.68,0.68,0.68,0.68,0.68,0.6918,0.68,0.68
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4926,0.5222,0.4926,0.466,0.466,0.466,0.4926,0.5222,0.4926,0.4926
0.7227,0.4852,0.5531,0.3836,0.3601,0.3836,0.5531,0.3156,0.5531,0.7227
0.1918,0.396,0.5414,0.4586,0.4586,0.4586,0.5414,0.5222,0.5414,0.1918
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7574,0.6992,0.7574,0.7883,0.7883,0.7883,0.7574,0.7618,0.7574,0.7574
0.8422,0.8082,0.8422,0.8274,0.8274,0.8274,0.8422,0.82,0.8422,0.8422
0.161,0.5589,0.4444,0.6384,0.6384,0.6384,0.4444,0.5272,0.4444,0.161
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.7766,0.7544,0.7766,0.7352,0.7352,0.7352,0.7766,0.6726,0.7766,0.7766
0.6918,0.6386,0.6918,0.6386,0.6386,0.6386,0.6918,0.6918,0.6918,0.6918
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.4462,0.5309,0.4462,0.4492,0.4492,0.4492,0.4684,0.4566,0.4462,0.4462
0.8304,0.8688,0.8304,0.8688,0.8688,0.8688,0.8304,0.8688,0.8304,0.8304
0.0,0.6504,0.4691,0.5952,0.5952,0.5952,0.4691,0.7035,0.4691,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.073,0.0656,0.073,0.0656,0.0656,0.0656,0.073,0.073,0.073,0.073
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8304,0.9152,0.8304,0.893,0.893,0.893,0.7648,0.893,0.8304,0.8304
0.6164,0.6399,0.6164,0.7227,0.7227,0.7227,0.6164,0.5148,0.6164,0.6164
0.8688,0.8688,0.8688,0.8688,0.8688,0.8688,1.0,0.8688,0.8688,0.8688
0.0,0.5309,0.4566,0.3718,0.3718,0.3718,0.4684,0.4492,0.4566,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.7574,0.8496,0.7574,0.8614,0.8614,0.8614,0.7574,0.8614,0.7574,0.7574
0.1696,0.6379,0.6262,0.6379,0.6379,0.6379,0.6918,0.5531,0.5818,0.1696
0.2766,0.1726,0.2766,0.1386,0.1386,0.1386,0.4078,0.1386,0.2766,0.2766
0.7618,0.5538,0.7618,0.6844,0.6844,0.6844,0.7618,0.6164,0.7618,0.7618
0.4374,0.5118,0.4374,0.534,0.534,0.534,0.4374,0.5118,0.4374,0.4374
0.073,0.287,0.3008,0.2988,0.2988,0.2988,0.3008,0.3392,0.3008,0.073
0.7574,0.8274,0.7574,0.8614,0.8614,0.8614,0.7648,0.8614,0.7574,0.7574
0.3561,0.247,0.3561,0.2318,0.2318,0.2318,0.3561,0.3561,0.3561,0.3561
0.7234,0.8082,0.7234,0.7234,0.7234,0.7234,0.7234,0.7648,0.7234,0.7234
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5878,0.8304,0.927,0.9152,0.9152,0.9152,0.927,0.893,0.927,0.5878
0.107,0.216,0.2766,0.2382,0.2382,0.2382,0.3422,0.2426,0.2766,0.107
0.6386,0.7544,0.6386,0.68,0.68,0.68,0.6386,0.7352,0.6386,0.6386
0.9152,0.9344,0.9152,0.927,0.927,0.927,0.9152,0.9344,0.9152,0.9152
0.5531,0.8688,0.8304,0.8688,0.8688,0.8688,0.8304,0.8688,0.8304,0.5531
0.2484,0.3937,0.2484,0.2484,0.2484,0.2484,0.2484,0.2484,0.2484,0.2484
